🙂 (smile)
😐 (neutral)
😢 (cry)
😂 (laugh)
😍 (heart_eyes)
😎 (sunglasses)
😡 (angry)
😱 (scream)
😴 (sleep)
😆 (grin)
😇 (angel)
🥳 (party)
🤔 (think)
🤗 (hug)
🤭 (oops)
😜 (wink)
🤪 (crazy)
🤫 (shush)
🤨 (doubt)
🤩 (starstruck)
🤑 (money face)
😤 (steam nose)
😷 (mask)
🤒 (sick)
🤕 (bandage)
🤧 (sneeze)
🤮 (vomit)
🥶 (cold)
🥵 (hot)
😬 (grimace)
😏 (smirk)
🙃 (upside_down)
🤤 (drool)
😲 (astonished)
🥱 (yawn)
🧐 (monocle)
🤠 (cowboy)
🥸 (disguise)
🥳 (celebrate)
😵 (dizzy)
🤐 (zipper mouse)
🫢 (hand over mouth)
😋 (delicious)
🥰 (smiling face with   hearts)
🫠 (melting face)
🤡 (clown)
😺 (cat_smile)
😿 (cat_cry)
😻 (cat_heart_eyes)
🙋‍♂️ (man raising hand)
😈 (smiling face with horns)
🧑‍🍳 (cook)
🥷 (ninja)
👷 (construction worker)
🏌 (person golfing)
🏂 (snowboarder)
🧙 (mage)
⛷ (skier)
👻 (ghost)
👾 (alien)
🤖 (robot)
💩 (poo)
🐶 (dog)
🦊 (fox)
🐼 (panda)
🐻 (bear)   
🦁 (lion)
🐷 (pig)
🐸 (frog)
🐵 (monkey)
🐧 (penguin)
🦉 (owl)
🦄 (unicorn)
🐴 (horse)
🐍 (snake)
🐢 (turtle)
🐌 (snail)
🐛 (caterpillar)
🦋 (butterfly)
🐝 (bee)
🐞 (ladybug)
🦀 (crab)
🕸 (spider web)
🦠 (microbe)
🐙 (octopus)
🦞 (lobster)
🐟 (fish)
🐳 (whale)
🦈 (shark)
🐘 (elephant)
🦒 (giraffe)
🐪 (camel)
🐓 (rooster)
🦩 (flamingo)
🐇 (rabbit)
🦋 (butterfly)
🐌 (snail)
🦆 (duck)
🐥 (chick)
🌴 (palm_tree)
🌱 (seedling)
🍀 (four_leaf_clover)
🌸 (flower)
🌹 (rose)
🍅 (tomato)
🥒 (cucumber)
🥕 (carrot)
🥔 (potato)
🧄 (garlic)
🧅 (onion)
🌶️ (hot pepper)
🍎 (apple)
🍋 (lemon)
🍇 (grapes)
🍌 (banana)
🍓 (strawberry)
🍑 (peach)
🍒 (cherries)
🥭 (mango)
🍍 (pineapple)
🥥 (coconut)
🥝 (kiwi)
🥑 (avocado)
🍆 (eggplant)
🍄‍🟫 (mushroom)
🥐 (croissant)
🥖 (baguette)
🥨 (pretzel)
🧇 (waffle)
🥩 (steak)
🌭 (hotdog)
🥪 (sandwich)
🍔 (burger)
🧀 (cheese)
🍟 (fries)
🍕 (pizza)
🌮 (taco)
🥚 (egg)
🧂 (salt)
🍿 (popcorn)
🍚 (rice)
🍝 (spaghetti)
🍣 (sushi)
🍦 (ice_cream)
🍩 (doughnut)
🍪 (cookie)
🎂 (birthday_cake)
🍫 (chocolate)
🍭 (lollipop)
🍾 (champagne)
🍷 (wine)
🍺 (beer)
🍴 (fork_and_knife)
🌍 (earth)
🌙 (moon)
🌈 (rainbow)
🌧️ (rain)
🌪️ (tornado)
🌊 (wave)
🎃 (pumpkin)
🎄 (christmas_tree)
🧨 (firecracker)
🎉 (party_popper)
🔥 (fire)
💧 (droplet)
🏄 (surfer)
💥 (collision)
⚡ (lightning)
☠️ (skull)
🏖️ (beach with umbrella)
🌀 (cyclone)
☀️ (sun)
💔 (broken heart)
💘 (heart with arrow)
💕 (two hearts)
🖤 (black heart)
👋 (waving hand)
👌 (ok hand)
💯 (100)
👊 (fist)
🙏 (folded hands)
✌ (victory hand)
👍 (thumbs up)
👎 (thumbs down)
👏 (clapping hands)
🫶 (heart hands)
💪 (flexed biceps)
🦶 (foot)
🧠 (brain)
🦷 (tooth)
🦴 (bone)
👀 (eyes)
👄 (mouth)
🧭 (compass)
⛰ (mountain)
🌋 (volcano)
🏜 (desert)
⛺ (tent)
🏠 (house)
🏢 (office)
🏥 (hospital)
🏦 (bank)
🏰 (castle)
🕌 (mosque)
🚂 (locomotive)
🚑 (ambulance)
🚔 (police car)
🚒 (fire truck)
🚕 (taxi)
🚚 (truck)
🏎 (formula one)
🏍 (motorcycle)
🚲 (bicycle)
🛴 (scooter)
🛹 (skateboard)
⛽ (fuel pump)
🚦 (traffic light)
🚧 (construction)
🚢 (ship)
🛶 (canoe)
🛟 (ring buoy)
⚓ (anchor)
⛵ (sailboat)
✈ (airplane)
🚁 (helicopter)
🛰 (satellite)
🛸 (flying saucer)
🚀 (rocket)
🧳 (luggage)
⏳ (hourglass)
⏰ (alarm clock)
⌚ (watch)
⭐ (star)
☁ (cloud)
☂ (umbrella)
❄ (snowflake)
☃ (snowman)
🎈 (balloon)
🎁 (wrapped gift)
🏆 (trophy)
🏀 (basketball)
🎳 (bowling)
🥊 (boxing glove)
🛷 (sled)
🎯 (bullseye)
🔫 (water pistol)
🔮 (crystal ball)
🪄 (magic wand)
🎮 (game controller)
🎲 (game die)
🧸 (teddy bear)
♟ (chess pawn)
🖼 (framed picture)
🎨 (artist palette)
🧵 (thread)
👖 (jeans)
🩳 (shorts)
🦺 (safety vest)
🧦 (socks)
🎒 (backpack)
👑 (crown)
🎓 (graduation cap)
💎 (gem stone)
🔔 (bell)
🎵 (musical note)
🎤 (microphone)
🎧 (headphone)
📻 (radio)
🎷 (saxophone)
🥁 (drum)
🎹 (musical keyboard)
☎ (telephone)
🔌 (electric plug)
🖨 (printer)
💻 (laptop)
💿 (disc)
📸 (camera)
🔍 (magnifying glass)
💡 (light bulb)
📚 (books)
📜 (scroll)
💵 (banknote)
💳 (credit card)
📮 (postbox)
✏ (pencil)
💼 (briefcase)
📎 (paperclip)
✂ (scissors)
🔒 (lock)
🔑 (key)
💣 (bomb)
🪚 (saw)
🔧 (wrench)
⚖ (balance scale)
🧲 (magnet)
🧪 (test tube)
💊 (pill)
🩺 (sthetoscope)
🪑 (chair)
🧻 (roll of paper)
🪥 (toothbrush)
🧯 (fire extinguisher)
🚬 (cigarette)
⚰ (coffin)
⚠ (warning)
✅ (check mark)
❌ (cross mark)
